Pseudo-terminal will not be allocated because stdin is not a terminal.
[0m[2023-10-29 08:32:25.477][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1152B, age=-783452233, vt=2/96, sts=53059/903789180/0x2747e07, muxer (nil) lost_rate:00% req_id:
[2023-10-29 08:38:45.947][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14376) ps rtp packet 1404B, age=-402983282, vt=2/96, sts=21533/937989180/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 08:40:22.132][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14268) ps rtp packet 1404B, age=-306800802, vt=2/96, sts=30161/946629180/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 09:09:15.642][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 1404B, age=1426711339, vt=2/96, sts=17442/1047915180/0x2747e05, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 09:10:00.616][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 1404B, age=1471684342, vt=2/96, sts=31398/1262957580/0x2747e08, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 09:28:34.605][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14268) ps rtp packet 1404B, age=-1709293530, vt=2/96, sts=3837/1206973980/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 09:37:07.205][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 1404B, age=-1196692186, vt=2/96, sts=48071/1253104380/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 09:57:52.582][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14268) ps rtp packet 1404B, age=48688915, vt=2/96, sts=16917/1365121980/0x2747e07, muxer (nil) lost_rate:00% req_id:
[2023-10-29 10:05:45.117][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14020) ps rtp packet 1404B, age=521221949, vt=2/96, sts=32680/1563917580/0x2747e08, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 10:07:32.271][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14376) ps rtp packet 1404B, age=628372954, vt=2/96, sts=48824/1417311180/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 10:17:43.303][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14268) ps rtp packet 1404B, age=1239410870, vt=2/96, sts=18946/1472311980/0x2747e07, muxer (nil) lost_rate:00% req_id:
[2023-10-29 10:27:56.916][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14448) ps rtp packet 1404B, age=1853019846, vt=2/96, sts=38049/1472801580/0x2747e05, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 10:39:19.448][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14268) ps rtp packet 1404B, age=-1759413705, vt=2/96, sts=35611/1588948380/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 10:44:39.828][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14312) ps rtp packet 1291B, age=-1439033536, vt=2/96, sts=55007/1617802380/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 10:57:14.162][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14276) ps rtp packet 1404B, age=-684707538, vt=2/96, sts=33414/1685698380/0x2747e07, muxer (nil) lost_rate:00% req_id:
