Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 03:32:10.783][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-2127789109, vt=2/96, sts=7728/2346629310/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:33:19.783][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-2058787577, vt=2/96, sts=33332/2352836700/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:34:04.959][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-2013607414, vt=2/96, sts=50082/2356904160/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:36:01.895][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1896685038, vt=2/96, sts=27980/2367427500/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:46:45.700][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1252883209, vt=2/96, sts=4719/2425369230/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 04:00:09.720][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-448851214, vt=2/96, sts=38325/2497732380/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 04:02:26.976][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-311590927, vt=2/96, sts=21599/2510082360/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 04:04:18.397][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-200170439, vt=2/96, sts=62971/2520108540/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 04:13:43.060][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=364493903, vt=2/96, sts=10496/2570927760/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 04:14:05.564][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=386993887, vt=2/96, sts=18924/2572956090/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 04:16:00.264][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=501696289, vt=2/96, sts=61523/2583277650/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 04:17:58.128][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=619555818, vt=2/96, sts=38725/2593883970/0x27f8c04, muxer (nil) lost_rate:00% req_id:
